id,nombre,CPU(%),MEMORIA(KB),TIEMPO(S),SE,PSNR,VENTANA
1,20,-nan,241152,0.921,22.0356,34.6996,3
1,21,-nan,241152,0.468,20.8914,30.607,3
1,22,25,241152,10.264,7.49904,36.3554,3
1,23,-nan,241152,1,25.1668,34.1225,3
1,24,-nan,241152,1.869,9.63937,38.2903,3
1,25,-nan,291836,1.795,5.47341,35.7847,3
1,26,inf,188068,4.305,4.47869,38.5939,3
1,27,-nan,188068,0.786,38.9424,30.1597,3
1,28,-nan,278616,2.082,2.07498,40.4667,3
1,29,41.6667,272208,49.67,0.126464,48.9803,3
1,30,-nan,240004,0.488,20.8844,30.8297,3
1,31,-nan,240004,0.552,31.0462,32.1236,3
1,32,-nan,240004,0.533,21.8352,33.0941,3
1,33,-nan,240004,0.482,24.0136,30.3857,3
1,34,-nan,240004,0.501,36.4232,29.8694,3
1,35,-nan,240004,0.487,16.5593,31.0369,3
1,36,25,240004,12.751,1.35557,43.2877,3
1,37,-nan,240004,0.542,22.8201,31.6658,3
1,38,-nan,240004,0.472,26.7083,33.5522,3
1,39,25,240004,7.2,10.0546,36.7455,3
1,40,-nan,240004,0.5,18.4435,30.8053,3
1,41,-nan,240004,0.491,26.8898,30.3131,3
1,42,-nan,240004,0.337,25.9583,31.2475,3
1,43,-nan,240004,0.367,30.2475,29.5953,3
1,44,-nan,240004,6.216,8.2289,37.4142,3
1,45,-nan,240004,0.305,18.0375,30.484,3
1,46,25,240004,7.504,1.59259,39.4899,3
1,47,-nan,240004,0.424,18.3528,35.0751,3
1,48,-nan,240004,1.165,17.8421,31.7293,3
1,49,25,240004,9.007,1.32153,41.896,3
1,50,50,249768,80.005,0.218679,51.4627,3
1,51,-nan,249768,1.158,2543.99,9.17221,3
1,52,inf,249768,9.778,4.43645,37.5028,3
1,1,-nan,108916,0.655,24.155,33.8821,3
1,2,-nan,112612,0.578,34.9639,32.1318,3
1,3,0,112612,6.445,26.9256,30.7554,3
1,4,-nan,112612,0.651,40.6566,30.8357,3
1,5,25,112612,0.937,14.4625,30.405,3
1,6,-nan,112612,1.156,19.3473,30.1182,3
1,7,inf,112612,0.599,24.3256,31.7144,3
1,8,-nan,112612,0.587,24.5482,31.6749,3
1,9,-nan,112612,0.641,26.9627,32.3006,3
1,10,inf,114180,0.53,18.0348,33.3722,3
1,11,25,103060,1.049,43.5416,27.8013,3
1,12,0,103060,9.074,24.6114,33.9777,3
1,13,25,103060,18.91,6.71581,36.9304,3
1,14,-nan,103060,0.621,23.6631,29.4866,3
1,15,-nan,103060,0.645,33.5206,30.23,3
1,16,25,103060,11.495,1.59259,39.4899,3
1,17,-nan,103060,0.459,27.9182,30.7902,3
1,18,-nan,103060,0.637,25.9986,30.4595,3
1,19,-nan,103060,0.781,22.6107,29.6842,3
1,20,inf,103060,0.518,19.1844,29.1779,3
1,21,-nan,103060,0.496,26.6184,30.3572,3
1,22,25,105700,10.644,35.972,30.0154,3
1,23,-nan,105700,0.977,26.2073,31.7928,3
1,24,inf,105700,7.248,1.32153,41.896,3
1,25,-nan,105700,0.625,36.3083,31.2484,3
1,26,-nan,105700,0.589,22.9026,30.4291,3
1,27,-nan,105700,0.708,24.6677,30.269,3
1,28,-nan,105700,1.087,39.4377,30.1048,3
1,29,inf,105700,0.723,17.8744,30.8829,3
1,30,-nan,105700,0.642,58.8153,28.1944,3
1,31,-nan,105700,0.679,22.9022,30.2079,3
1,32,25,105700,13.598,1.18129,45.2097,3
1,33,-nan,105700,0.64,23.6291,30.5093,3
1,34,-nan,105700,0.72,35.3644,31.2435,3
1,35,-nan,105700,4.515,28.5731,29.0773,3
1,36,-nan,105700,0.609,33.6756,28.5335,3
1,37,-nan,105700,0.625,26.847,32.8316,3
1,38,0,105700,0.893,28.4263,29.865,3
1,39,25,105700,19.029,4.43645,37.5028,3
1,40,inf,105700,6.929,0.978261,41.3846,3
1,41,-nan,105700,0.729,21.7463,27.2138,3
1,42,inf,105700,0.469,27.5598,32.6409,3
1,43,-nan,105700,0.9,40.0682,31.9655,3
1,44,-nan,105700,0.573,21.3087,31.0113,3
1,45,25,105700,10.987,4.14799,38.4306,3
1,46,-nan,105700,0.783,35.1243,32.3626,3
1,47,12.5,105700,15.394,7.49904,36.3554,3
1,48,-nan,105700,0.56,19.9667,28.2861,3
