id,nombre,CPU(%),MEMORIA(KB),TIEMPO(S)
1,CREDENCIALES/26.png,43.75,188068,139.584
1,CREDENCIALES/27.png,47.7273,188068,214
1,CREDENCIALES/28.png,27.8226,278616,1374.46
1,CREDENCIALES/29.png,29.4118,272208,1405.14
1,CREDENCIALES/30.png,40.625,240004,141.173
1,CREDENCIALES/31.png,47.5,240004,184.648
1,CREDENCIALES/32.png,50,240004,156.384
1,CREDENCIALES/33.png,50,240004,109.453
1,CREDENCIALES/34.png,38.8889,240004,146.961
1,CREDENCIALES/35.png,42.5,240004,175.75
1,CREDENCIALES/36.png,46.4286,240004,130.232
1,CREDENCIALES/37.png,47.7273,240004,202.269
1,CREDENCIALES/38.png,46.4286,240004,129.577
1,CREDENCIALES/39.png,39.2857,240004,120.808
1,CREDENCIALES/40.png,50,240004,154.839
1,CREDENCIALES/41.png,46.875,240004,153.553
1,CREDENCIALES/42.png,50,240004,88.553
1,CREDENCIALES/43.png,46.4286,240004,134.655
1,CREDENCIALES/44.png,45,240004,79.811
1,CREDENCIALES/45.png,43.75,240004,66.557
1,CREDENCIALES/46.png,42.8571,240004,117.68
1,CREDENCIALES/47.png,35.9375,240004,226.988
1,CREDENCIALES/48.png,53.5714,240004,140.264
1,CREDENCIALES/49.png,40.625,240004,134.261
1,CREDENCIALES/50.png,27.7523,249768,1202.68
1,CREDENCIALES/51.png,43.1818,249768,191.894
1,CREDENCIALES/52.png,43.75,249768,139.79
1,CREDENCIALES/1.png,29.1667,108916,363.075
1,CREDENCIALES/2.png,48.2143,112612,271.56
1,CREDENCIALES/3.png,47.7273,112612,212.226
1,CREDENCIALES/4.png,46.4286,112612,260.273
1,CREDENCIALES/5.png,46.1538,112612,244.856
1,CREDENCIALES/6.png,45.8333,112612,215.39
1,CREDENCIALES/7.png,41.6667,112612,201.339
1,CREDENCIALES/8.png,43.75,112612,208.886
1,CREDENCIALES/9.png,44.2308,112612,227.915
1,CREDENCIALES/10.png,43.0556,114180,312.079
1,CREDENCIALES/11.png,45.4545,103060,204.669
1,CREDENCIALES/12.png,46.4286,103060,261.875
1,CREDENCIALES/13.png,50,103060,197.36
1,CREDENCIALES/14.png,41.6667,103060,196.871
1,CREDENCIALES/15.png,39.2857,103060,222.441
1,CREDENCIALES/16.png,41.6667,103060,199.042
1,CREDENCIALES/17.png,43.1818,103060,196.307
1,CREDENCIALES/18.png,45.8333,103060,228.63
1,CREDENCIALES/19.png,46.4286,103060,255.343
1,CREDENCIALES/20.png,45.4545,103060,192.219
1,CREDENCIALES/21.png,44.4444,103060,164.873
1,CREDENCIALES/22.png,44.2308,105700,230.135
1,CREDENCIALES/23.png,45,105700,267.371
1,CREDENCIALES/24.png,43.75,105700,207.205
1,CREDENCIALES/25.png,45,105700,179.616
1,CREDENCIALES/26.png,45,105700,191.983
1,CREDENCIALES/27.png,45,105700,181.609
1,CREDENCIALES/28.png,44.6429,105700,245.934
1,CREDENCIALES/29.png,45,105700,174.257
1,CREDENCIALES/30.png,43.75,105700,214.662
1,CREDENCIALES/31.png,43.0556,105700,300.776
1,CREDENCIALES/32.png,46.1538,105700,231.68
1,CREDENCIALES/33.png,45.4545,105700,193.09
1,CREDENCIALES/34.png,48.0769,105700,249.455
1,CREDENCIALES/35.png,47.5,105700,184.786
1,CREDENCIALES/36.png,50,105700,204.191
1,CREDENCIALES/37.png,48.2143,105700,257.592
1,CREDENCIALES/38.png,48.0769,105700,250.167
1,CREDENCIALES/39.png,45.8333,105700,219.747
1,CREDENCIALES/40.png,48.0769,105700,248.245
1,CREDENCIALES/41.png,44.6429,105700,254.783
1,CREDENCIALES/42.png,46.875,105700,151.623
1,CREDENCIALES/43.png,46.1538,105700,248.272
1,CREDENCIALES/44.png,37.5,105700,182.688
1,CREDENCIALES/45.png,38.4615,105700,204.322
1,CREDENCIALES/46.png,44.2308,105700,235.461
1,CREDENCIALES/47.png,46.1538,105700,238.386
1,CREDENCIALES/48.png,40,105700,232.283
1,CREDENCIALES/49.png,48.0769,105700,237.77
1,CREDENCIALES/50.png,41.6667,105700,245.33
1,CREDENCIALES/51.png,45.8333,105700,208.875
1,CREDENCIALES/52.png,43.75,105700,204.096
1,CREDENCIALES/53.png,38.1579,105700,300.597
1,CREDENCIALES/54.png,47.7273,105700,209.424
1,CREDENCIALES/55.png,41.0714,105700,237.924
1,CREDENCIALES/56.png,42.3077,105700,223.061
1,CREDENCIALES/57.png,50,105700,215.796
1,CREDENCIALES/58.png,47.9167,105700,226.883
1,CREDENCIALES/59.png,47.7273,105700,208.039
1,CREDENCIALES/60.png,45,105700,185.016
1,CREDENCIALES/61.png,52.2727,105700,229.475
1,CREDENCIALES/62.png,47.7273,105700,216.159
1,CREDENCIALES/63.png,45,105700,182.666
1,CREDENCIALES/64.png,52.7778,105700,190.739
1,CREDENCIALES/65.png,50,105700,196.848
1,CREDENCIALES/66.png,47.5,105700,182.121
1,CREDENCIALES/67.png,52.7778,105700,181.67
1,CREDENCIALES/68.png,44.4444,105700,158.69
1,CREDENCIALES/69.png,50,105700,181.01
1,CREDENCIALES/70.png,50,105700,175.167
1,CREDENCIALES/71.png,52.0833,105700,243.701
1,CREDENCIALES/72.png,47.2222,105700,169.135
1,CREDENCIALES/73.png,41.6667,105700,94.948
1,CREDENCIALES/74.png,50,105700,155.157
1,CREDENCIALES/75.png,47.5,105700,182.814
1,CREDENCIALES/76.png,46.875,105700,153.817
1,CREDENCIALES/77.png,47.2222,105700,160.875
1,CREDENCIALES/78.png,50,105700,132.216
1,CREDENCIALES/1.png,37.5,108924,620.792
1,CREDENCIALES/2.png,46.875,108924,299.569
1,CREDENCIALES/3.png,46.4286,108924,262.19
1,CREDENCIALES/4.png,44.7368,108924,337.679
1,CREDENCIALES/5.png,51.5625,99508,323.045
1,CREDENCIALES/6.png,38.0952,99508,310.258
1,CREDENCIALES/7.png,48.2143,99508,260.986
1,CREDENCIALES/1.png,36.3636,108668,484.308
1,CREDENCIALES/2.png,47.0588,98116,314.838
1,CREDENCIALES/3.png,46.1538,98116,245.066
1,CREDENCIALES/2.png,40.9091,97824,188.469
1,CREDENCIALES/3.png,40.9091,97824,187.629
1,CREDENCIALES/4.png,48.913,97824,446.386
1,CREDENCIALES/5.png,42.3077,97824,225.44
1,CREDENCIALES/6.png,50,97824,235.872
1,CREDENCIALES/7.png,39.5833,99552,201.855
1,CREDENCIALES/8.png,50,99552,179.891
1,CREDENCIALES/9.png,43.1818,99552,198.134
1,CREDENCIALES/10.png,40.1786,111228,443.378
1,CREDENCIALES/11.png,50,111228,214.8
1,CREDENCIALES/93.png,46.4286,88756,135.985
1,CREDENCIALES/93.png,34.375,88848,110.154
1,CREDENCIALES/93.png,35,88704,70.172
1,CREDENCIALES/93.png,33.3333,88840,81.297
1,CREDENCIALES/93.png,35,88748,67.006
1,CREDENCIALES/92.png,50,91372,81.798
1,CREDENCIALES/60.png,46.4286,90404,128.617
1,CREDENCIALES/93.png,35,89020,62.176
1,CREDENCIALES/59.png,37.5,89640,91.006
1,CREDENCIALES/5.png,43.75,97400,206.622
1,CREDENCIALES/5.png,47.7273,97064,206.774
1,CREDENCIALES/5.png,46.1538,97292,232.932
1,CREDENCIALES/5.png,47.7273,97192,210.446
1,CREDENCIALES/5.png,46.1538,97148,237.369
1,CREDENCIALES/5.png,31.25,97252,400.567
